Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
19-03-2025,1608.75,1608.75,1572.6,1586.55,171624098,6426,108452
18-03-2025,1596.3,1612.7,1582.05,1608.8,220561002,11471,137751
17-03-2025,1555,1594,1551,1590.55,104177928,5581,65835
13-03-2025,1597.5,1606.6,1571,1579.25,157577718,5366,99375
12-03-2025,1639.65,1639.65,1564.15,1589.6,296090246,10570,186559
11-03-2025,1682.95,1682.95,1637.05,1660.6,304660955,13785,184062
10-03-2025,1689.95,1718.8,1676.8,1702.75,138451078,6063,81295
07-03-2025,1704.95,1704.95,1675.8,1685.75,111649285,3915,66194
06-03-2025,1718.65,1721.15,1691,1713.2,158306232,8890,92840
05-03-2025,1690.05,1732.3,1690.05,1710.8,216797709,7014,126336
04-03-2025,1699.95,1699.95,1670,1689.7,209611826,6967,124480
03-03-2025,1688.4,1728.45,1688.4,1708.1,1190643569,13320,695948
28-02-2025,1754.1,1754.45,1682.8,1688.05,192453020,7785,113082
27-02-2025,1758.2,1775.9,1751.15,1764.2,141740348,5372,80318
25-02-2025,1751.5,1778.45,1749.15,1768.2,529358179,13863,299475
24-02-2025,1809.8,1809.8,1750,1764.15,355707458,16094,200716
21-02-2025,1828.75,1828.75,1806.5,1815.15,1628826105,2860,900230
20-02-2025,1800.3,1830.5,1800.3,1823.45,215496341,5483,118255
19-02-2025,1845.95,1848.9,1807,1810.8,138978454,4479,76054
18-02-2025,1840.6,1861,1838,1851.5,312277486,6784,169092
17-02-2025,1848,1850.05,1823,1842.6,196447024,2962,106879
14-02-2025,1852.5,1859,1828.05,1856.3,244824039,7462,132900
13-02-2025,1865.5,1873.5,1835.15,1843.25,276965636,5998,149469
12-02-2025,1876.85,1894.5,1846.25,1863.75,1212488502,9950,649652
11-02-2025,1879.3,1902.55,1869.7,1876.8,1305792964,8410,694809
10-02-2025,1908.5,1908.5,1878.25,1879.2,385448912,7019,204511
07-02-2025,1880.2,1921,1880.2,1902.75,269362078,5713,141726
06-02-2025,1920,1922.65,1900.05,1915.95,204577622,5607,107219
05-02-2025,1907.9,1919.1,1894.55,1897.1,360086249,12494,189137
04-02-2025,1887,1911.4,1875,1899.25,732324369,27294,386977
03-02-2025,1839.95,1876.5,1832.8,1863.85,242643297,11192,130888
01-02-2025,1873.75,1889.95,1845.2,1851.9,132294754,4625,70912
31-01-2025,1864.1,1896.15,1864.1,1880.05,411770330,4982,218826
30-01-2025,1878.95,1885.95,1844.95,1859.85,183910832,12724,98815
29-01-2025,1838.55,1888,1838.55,1880.85,410217563,19798,220194
28-01-2025,1822.3,1863,1822.3,1829.15,676573202,23629,366784
27-01-2025,1850,1862.45,1812.9,1822.1,171528278,5093,93143
24-01-2025,1865,1894.85,1864.8,1875.15,515484308,22066,273838
23-01-2025,1856.45,1879.5,1850.65,1864.8,253255561,14824,135461
22-01-2025,1806.1,1865.4,1806.1,1856.6,261881490,7822,142272
21-01-2025,1820,1831.85,1792.45,1799.8,915657088,21972,504737
20-01-2025,1822.4,1831.6,1793.2,1813.25,98203265,3802,54311
17-01-2025,1869.95,1869.95,1812.7,1815.1,467956373,13134,256183
16-01-2025,1962.4,1967.75,1917.75,1926.2,220034162,7579,113338
15-01-2025,1951.95,1957.9,1938,1949.8,78248798,2037,40167
14-01-2025,1960.05,1972,1931.25,1939.3,418852035,9876,215561
13-01-2025,1950.05,1982.55,1948.75,1961.8,276057351,6978,140309
10-01-2025,1931.55,1977,1931.55,1966.7,627600188,21477,320367
09-01-2025,1941.85,1952,1909.85,1917.8,524895240,9765,272548
08-01-2025,1922.05,1938.95,1888.3,1933.15,383615019,10015,201177
07-01-2025,1938.45,1959.4,1924.4,1932.55,472942966,17825,244697
06-01-2025,1954.65,1972.95,1927.85,1937.85,367956803,6191,189323
03-01-2025,1957.45,1957.45,1922.2,1938.3,397478307,9399,205298
02-01-2025,1890,1962.05,1885,1957.65,451144341,13053,232274
01-01-2025,1879.95,1892.1,1875,1882.65,340866919,5519,180770
31-12-2024,1895,1895.3,1845.7,1880.7,91877562,3340,49186
30-12-2024,1916,1916,1886.45,1905.7,441718277,9272,232307
27-12-2024,1915.95,1924,1904,1916.55,571079639,11539,299022
26-12-2024,1906,1920.9,1902.5,1906.2,561454639,10000,294282
24-12-2024,1924.15,1941.75,1900.25,1909.3,432562837,7259,225966
23-12-2024,1927.15,1940.45,1909.25,1923.85,126369983,3054,65647
20-12-2024,1972,1981.65,1911.25,1922.05,486438858,11565,251755
19-12-2024,1939.35,1959,1921,1948.15,145974140,4815,75296
18-12-2024,1965.05,1984.45,1962.15,1978.9,181299649,5892,91783
17-12-2024,1970,1980.55,1959,1976.65,76458381,2930,38762
16-12-2024,1990.3,1999.25,1977.4,1979.65,146950210,5623,73924
13-12-2024,1969.6,2006.8,1946.45,1999.85,363459027,7583,182861
12-12-2024,1975,1998.65,1973,1986.75,218145375,6437,109677
11-12-2024,1952.55,1977.55,1947.35,1968.7,409570816,10446,208326
10-12-2024,1930,1965,1930,1948.7,374920973,9433,192342
09-12-2024,1922.7,1930.9,1897.5,1925.3,233688645,8117,122141
06-12-2024,1929.8,1936.1,1913,1923.2,241908168,6787,125863
05-12-2024,1900.5,1949,1889.25,1934.35,452580559,13145,235468
04-12-2024,1886.95,1912.9,1874.1,1890.3,114128601,3502,60195
03-12-2024,1880.5,1899,1872,1891.4,129756346,2827,68682
02-12-2024,1850.1,1882,1836,1879.2,269211322,8054,144317
29-11-2024,1855.35,1876.75,1845.65,1858.45,390895265,10938,210152
28-11-2024,1918.95,1918.95,1852.55,1857.45,229134545,6898,122450
27-11-2024,1939.95,1940.65,1912.5,1924.1,103090842,3299,53515
26-11-2024,1901.45,1938.7,1899.15,1921.85,195779086,5274,101596
25-11-2024,1910.5,1919,1882.2,1889.15,344157370,8916,181895
22-11-2024,1849.35,1913.9,1834.25,1902.95,721943509,18595,383445
21-11-2024,1839.95,1866.6,1820.5,1834.2,247628350,9705,134583
19-11-2024,1822.05,1860,1822.05,1825.55,170506570,5864,92671
18-11-2024,1863.95,1863.95,1795.75,1811.4,237876597,6786,131100
14-11-2024,1869.65,1876.05,1856.45,1864,403495321,14314,216343
13-11-2024,1865.95,1873.45,1857,1868.3,113484181,4076,60793
12-11-2024,1863,1881.25,1861.1,1867.95,136678404,4101,73031
11-11-2024,1820.55,1867.8,1820.55,1860,322101023,11312,173854
08-11-2024,1815.95,1840,1813.1,1831.05,279864891,7543,152794
07-11-2024,1819.85,1825.1,1786.65,1802.65,196347373,7197,108778
06-11-2024,1765,1827,1763.5,1824.3,4377024510,7751,2491228
05-11-2024,1763.75,1768.25,1745.1,1753.8,152742140,7082,87084
04-11-2024,1728.95,1768.25,1718.5,1764.9,319107086,12641,183170
01-11-2024,1763,1766.3,1754.4,1761.6,28889616,2210,16395
31-10-2024,1797,1797,1747.2,1757.15,479244128,14317,272382
30-10-2024,1834.95,1839.85,1797,1801.75,144807998,4763,79714
29-10-2024,1847,1851.6,1828.9,1838.75,154271945,6388,83833
28-10-2024,1855.05,1881.1,1855.05,1866.25,331434170,8051,176878
25-10-2024,1868.75,1876,1845.65,1853.25,555808154,19155,298913
24-10-2024,1872.05,1883.7,1860.1,1864.4,123183416,3189,66000
23-10-2024,1842.35,1885.5,1842.35,1872.85,215402256,5027,115059
22-10-2024,1846.05,1877.7,1846.05,1850.95,125673867,5907,67574
21-10-2024,1899.4,1899.4,1838.1,1852.5,289804463,8501,156295
18-10-2024,1905,1936.8,1870,1878.85,1007736701,26388,532991
17-10-2024,1930,1978,1930,1969.5,517512094,9698,265093
16-10-2024,1958.95,1960.1,1916.3,1919.9,126587989,4392,65346
15-10-2024,1964.95,1990.9,1952,1959.1,428495977,7927,218415
14-10-2024,1934.95,1970,1933.75,1958.7,152971422,6506,78170
11-10-2024,1918.05,1946.9,1909.9,1935,424976236,13195,219738
10-10-2024,1969.9,1969.9,1914.25,1919.05,258584285,8105,133629
09-10-2024,1951.7,1976.9,1945.5,1953.9,249777675,7935,127209
08-10-2024,1934.75,1957.75,1906.9,1948.5,586067103,20462,303314
07-10-2024,1922.05,1942.25,1915.6,1933.75,709309950,18849,367272
04-10-2024,1888.65,1954.1,1888.65,1918.35,1037933258,19810,537361
03-10-2024,1886.15,1911.95,1881.1,1893.1,350981870,8276,185365
01-10-2024,1876,1909,1875,1904.15,538438978,15995,283922
30-09-2024,1884.95,1900,1870,1876,208549215,9248,110696
27-09-2024,1930,1974.65,1903.3,1907.2,508698330,10827,262993
26-09-2024,1890.35,1917.35,1890.35,1899.35,246425271,8317,129294
25-09-2024,1893.45,1901,1877.4,1896,130137585,3693,68854
24-09-2024,1885,1910,1871.05,1897.8,216234321,8025,114447
23-09-2024,1908.55,1918,1879,1897,328001181,8728,173160
20-09-2024,1911.25,1915,1866.95,1906.1,1703289490,28257,898237
19-09-2024,1918.5,1924.2,1878.25,1894.15,493850245,10634,260296
18-09-2024,1940,1940,1882,1892.35,510578438,13487,269091
17-09-2024,1949.75,1958.2,1942.45,1952.65,137923128,2380,70650
16-09-2024,1940.25,1952,1932.45,1949.75,239605990,6497,123161
13-09-2024,1950.35,1958.7,1935.45,1944.3,585279824,9679,300090
12-09-2024,1921.25,1956,1910.8,1950.35,407508153,13909,211482
11-09-2024,1913,1926,1904.85,1910.8,318221074,6700,165928
10-09-2024,1905,1935,1896.6,1912.9,313306720,7948,162880
09-09-2024,1885.05,1920.5,1885.05,1894.7,422969100,11332,221300
06-09-2024,1931.15,1935.9,1896.7,1902.2,524484934,17270,274994
05-09-2024,1923.15,1938.9,1910.05,1933,180623943,5170,94075
04-09-2024,1907.6,1928.2,1900.75,1922.05,202258325,4815,105955
03-09-2024,1964.9,1965,1936,1940.2,202452668,4867,103637
02-09-2024,1943,1975.05,1942.95,1964.1,296853853,7223,151346
30-08-2024,1943.9,1950,1928.15,1943.3,424945090,12807,219394
29-08-2024,1935,1950,1920.6,1932.4,331903716,11787,171353
28-08-2024,1904.5,1950.2,1896.9,1939.2,649961770,17662,336061
27-08-2024,1881.7,1902,1874,1900.15,248170077,7851,130940
26-08-2024,1870,1888.35,1866.75,1875.95,226756993,8452,120624
23-08-2024,1878.95,1880.25,1856.55,1862.35,601225631,12535,322603
22-08-2024,1882.35,1893.3,1869.9,1879.95,153695093,6368,81706
21-08-2024,1874,1879.95,1866.65,1872.25,162309608,5632,86735
20-08-2024,1880.05,1885.7,1868.35,1873.5,131548751,3408,70074
19-08-2024,1859.35,1866.85,1849.45,1864.1,195715710,7851,105146
16-08-2024,1847.25,1861.8,1830.65,1859.35,594825657,12691,321175
14-08-2024,1797.35,1825,1797.35,1822.65,914729392,4781,506152
13-08-2024,1806.35,1807.4,1789.55,1796.8,268928788,11304,149499
12-08-2024,1765.05,1803,1765.05,1797.55,252101538,10204,140719
09-08-2024,1774.65,1779.9,1756.55,1770.85,484154093,13885,273636
08-08-2024,1784.35,1784.35,1727.45,1741.1,371713022,14709,212394
07-08-2024,1789.95,1797,1762.05,1792,97363768,4262,54563
06-08-2024,1751.45,1796.65,1745,1750.65,196975572,5943,111439
05-08-2024,1761,1797.6,1718.4,1751.4,1020900260,32765,580128
02-08-2024,1843.95,1860,1816.2,1821.4,1053770417,17758,577170
01-08-2024,1845.4,1867.55,1845.4,1852.3,368540636,7568,198684
31-07-2024,1874.35,1884,1865.5,1868.05,94153776,3469,50275
30-07-2024,1867.25,1879.9,1860,1877,242002490,9039,129390
29-07-2024,1885.05,1903,1864.15,1872.3,156175814,4701,82954
26-07-2024,1824.5,1883,1824.5,1878.75,1417484149,30936,756974
25-07-2024,1821.65,1830.6,1813.75,1825.35,170513797,5178,93576
24-07-2024,1828.9,1840.55,1820.2,1830.2,650886852,13298,355661
23-07-2024,1808,1839.75,1783,1836.95,338472070,10223,186623
22-07-2024,1800,1823.15,1793.75,1810.55,316799869,7151,175147
19-07-2024,1842.05,1843,1786,1792.85,2978628044,49938,1647829
18-07-2024,1724.95,1764.95,1720.75,1759.15,500627261,13203,286775
16-07-2024,1713.2,1737.5,1699.3,1725.8,457073248,14429,265172
15-07-2024,1715.3,1728.1,1702.25,1707.2,547526935,15347,319131
12-07-2024,1675.05,1719,1666.85,1712,1743720747,50290,1025252
11-07-2024,1655,1665,1642.25,1653.05,295100421,7924,178432
10-07-2024,1657.5,1674,1637.55,1647.7,423193824,14070,255972
09-07-2024,1659,1666,1650.4,1657.25,287234335,9539,173026
08-07-2024,1642,1666,1640,1661.65,164466121,5692,99345
05-07-2024,1649.55,1665,1633.2,1647.2,830743395,24052,503374
04-07-2024,1627.65,1659.15,1627.6,1649.15,679646787,23125,411364
03-07-2024,1624.95,1635.5,1606.25,1627.6,195300571,4933,120360
02-07-2024,1598,1633.8,1589,1621,358202815,10618,221285
01-07-2024,1561.05,1599.85,1559.2,1589.75,696227264,23938,438488
28-06-2024,1571.1,1588,1564,1566.95,1130896944,36624,719140
27-06-2024,1540,1577.5,1532.2,1573.5,1431941571,34705,914944
26-06-2024,1540,1548.95,1535.35,1541.35,281250650,5788,182325
25-06-2024,1526,1543.75,1521.65,1541.3,737571719,15923,481445
24-06-2024,1526.25,1528.8,1516.6,1527.25,332886773,7386,218485
21-06-2024,1531.05,1557.75,1523.45,1531.7,1493171656,36296,971925
20-06-2024,1513.05,1517.1,1499.25,1515.3,366003340,7015,242401
19-06-2024,1502.45,1515.95,1496.55,1511.35,383851166,8550,254774
18-06-2024,1488.95,1507.65,1488.95,1497.85,182655007,4654,121668
14-06-2024,1500.05,1501,1486,1488.55,417693398,12658,280369
13-06-2024,1498,1505,1489.75,1494.25,317606383,8210,212377
12-06-2024,1503,1508.95,1483.05,1485,382052854,9451,255297
11-06-2024,1504.95,1506.55,1494,1495.6,167890577,4562,111787
10-06-2024,1528.85,1528.85,1497.9,1499.65,344424553,9809,228905
07-06-2024,1475.15,1539,1475.15,1533.35,3101366826,88607,2034394
06-06-2024,1442.55,1474,1437.4,1472.5,1039482013,33632,712430
05-06-2024,1400,1438,1400,1430.25,719071143,26861,505138
04-06-2024,1411.95,1412.95,1359.1,1394.4,1418347180,57135,1016378
03-06-2024,1435.15,1439.05,1404,1405.9,257144869,8146,182274
31-05-2024,1413,1436.5,1400,1406.25,979487233,28966,692017
30-05-2024,1447.95,1449.9,1421.7,1425.75,737607005,26582,515228
29-05-2024,1469.95,1469.95,1448.7,1451.6,299912614,6672,206028
28-05-2024,1477,1477,1461,1466.2,542123208,10101,368764
27-05-2024,1467.8,1479.5,1460.5,1471.6,135906452,4949,92422
24-05-2024,1471.75,1475.2,1459.15,1465,539697329,18564,367838
23-05-2024,1456.15,1478.15,1451.9,1472.9,326386948,11760,222189
22-05-2024,1434.65,1459.9,1429.5,1454.65,489498597,14020,337362
21-05-2024,1439.95,1444,1428.75,1434.2,261213033,12384,181992
18-05-2024,1445,1465.95,1442.1,1443.75,17603977,813,12182
17-05-2024,1455.45,1455.45,1439.5,1444.05,410955805,11854,284528
16-05-2024,1431,1455.5,1428,1452.9,608800420,18052,421731
15-05-2024,1424.65,1431,1419,1420.75,398600587,18094,280110
14-05-2024,1425.15,1433.45,1418,1424.85,126535372,3702,88849
13-05-2024,1425.15,1425.15,1411.15,1423.25,255923838,11219,180542
10-05-2024,1436.95,1436.95,1413.15,1425.15,338069279,11973,237684
09-05-2024,1428.6,1449.65,1425,1438.75,458696721,21659,318603
08-05-2024,1431.3,1441.45,1426.1,1427.35,92759333,3207,64739
07-05-2024,1425.5,1443,1416,1440.75,248526404,7559,173851
06-05-2024,1416.45,1445,1416.45,1425.8,396145158,15304,276183
03-05-2024,1423.5,1424.3,1403.1,1416.45,510912995,26767,361945
02-05-2024,1414.95,1423.55,1412,1414.85,406061119,21191,286211
30-04-2024,1436.65,1436.65,1418.1,1421.1,306438678,16874,214453
29-04-2024,1432.8,1439.75,1428.4,1435,130243808,5167,90788
26-04-2024,1438.65,1445.45,1426.4,1430.15,348936404,10963,243145
25-04-2024,1421.95,1444.5,1420,1438.4,380613988,12423,265074
24-04-2024,1443.15,1444.45,1427.05,1431.85,528342605,12189,368271
23-04-2024,1442.05,1446.8,1433.4,1441.7,312529264,5625,216933
22-04-2024,1421.35,1434.9,1413.15,1432.5,621883675,16842,437372
19-04-2024,1387,1426.75,1379.7,1411.6,1211299075,48004,864596
18-04-2024,1422.6,1444.5,1408,1420.55,1044190310,33084,732684
16-04-2024,1451,1454.85,1413.05,1414.75,1571907078,63871,1097764
15-04-2024,1471.3,1491.8,1461,1468.3,881443936,30822,598940
12-04-2024,1509.45,1509.45,1479.4,1485.05,755977562,20731,507356
10-04-2024,1501.6,1509.95,1485,1506.7,217315089,8715,145013
09-04-2024,1488.55,1513.4,1488,1494.7,802104048,24744,534189
08-04-2024,1488.95,1490.5,1475,1477.05,659037592,15118,445110
05-04-2024,1482.25,1486.7,1476.05,1479.5,253311627,8340,171130
04-04-2024,1490,1495,1468.2,1486.6,448824846,20967,302879
03-04-2024,1481.95,1494.9,1475,1480.75,737939133,17826,496136
02-04-2024,1489.9,1492,1481.1,1483.2,397789281,17997,267682
01-04-2024,1521.25,1528,1493,1495.8,446741417,17335,296239
28-03-2024,1487.6,1511.45,1487.6,1498.8,562349934,15437,373978
27-03-2024,1495,1499,1482,1484.1,218055580,5463,146371
26-03-2024,1497.85,1507.75,1488,1492.45,332827730,16336,222382
22-03-2024,1517.95,1529,1497.65,1508.85,9105140342,29452,6022096
21-03-2024,1560.55,1576.45,1544,1555.2,200642423,4715,128746
20-03-2024,1562,1573.85,1552.6,1554.6,202245225,7916,129545
19-03-2024,1595.6,1599,1558.1,1561.95,367797945,9936,233098
18-03-2024,1632.05,1632.65,1599,1602.3,271887429,9667,168202
15-03-2024,1644.45,1647,1618.5,1634.9,505372601,10800,309799
14-03-2024,1612.05,1657,1607.25,1652.45,418112599,17668,254874
13-03-2024,1612.3,1624.85,1598.3,1611.7,388372745,16874,240984
12-03-2024,1598.5,1624.95,1598.05,1612.2,291584713,6314,180282
11-03-2024,1608.9,1612.25,1588,1599.45,323059382,11782,201766
07-03-2024,1617.3,1628.45,1605,1616.95,278708776,8637,172250
06-03-2024,1600.1,1619.95,1576.1,1617.3,408279577,11258,257845
05-03-2024,1633.65,1636.6,1602.1,1606.2,506064692,19240,314321
04-03-2024,1655.75,1662.25,1633.2,1637.85,478771562,11173,291654
02-03-2024,1656.05,1665,1653.75,1655.2,43833237,1866,26446
01-03-2024,1672.05,1672.5,1652,1655.05,539776653,17882,324749
29-02-2024,1655.15,1682,1653.5,1675.05,131784816,3443,79116
28-02-2024,1672,1687.5,1662.4,1670.1,323398479,9748,193133
27-02-2024,1655.2,1670.95,1653,1664.75,165163629,4582,99507
26-02-2024,1672.7,1674.5,1645,1658.65,239854306,9788,144855
23-02-2024,1695.6,1698.6,1672,1677,371408116,10750,221212
22-02-2024,1663.3,1684.35,1644.85,1680.25,306811823,11550,184800
21-02-2024,1676.8,1676.8,1645.3,1656.05,295657569,8472,177997
20-02-2024,1688.05,1693.45,1668.7,1684.15,192069522,4551,114350
19-02-2024,1702.55,1710.95,1687.15,1699.45,250711499,9550,147431
16-02-2024,1688,1708.95,1681.05,1702.4,832990043,20874,490096
15-02-2024,1673.9,1686.75,1662,1677.6,396045621,7254,236638
14-02-2024,1660.95,1668.8,1635.35,1666,590296883,17741,358918
13-02-2024,1680.15,1689,1663.75,1684.6,74786333,2780,44652
12-02-2024,1670.15,1692.5,1670.15,1679.8,453690225,13563,269133
09-02-2024,1685.9,1692,1659.3,1669.65,508911157,18835,304915
08-02-2024,1695.05,1706.2,1682.8,1693.2,161269414,4039,95363
07-02-2024,1729.25,1729.25,1686.9,1693.7,335759123,8860,197567
06-02-2024,1680.05,1731,1673.65,1729.25,347866775,10363,202887
05-02-2024,1686.1,1700.5,1681,1686.75,251202780,11845,148469
02-02-2024,1662.25,1718.6,1662.25,1693.85,1005650620,25010,592334
01-02-2024,1660,1677,1650.15,1656.45,240080471,9899,144315
31-01-2024,1645.05,1666,1637.95,1662.1,76209566,2625,46042
30-01-2024,1655.9,1689.9,1647.95,1650.8,164736610,4711,98676
29-01-2024,1665.25,1679.25,1647.05,1655.9,112779780,3894,67978
25-01-2024,1668.15,1680.45,1657.65,1670.8,2016534915,19923,1207422
24-01-2024,1655.2,1679.8,1644.3,1674.5,1885937504,35858,1137421
23-01-2024,1645.15,1675,1637.5,1642.2,187242525,5584,112596
20-01-2024,1661.5,1668.9,1644.65,1648.75,65579517,2166,39649
19-01-2024,1650,1665,1644.25,1658.95,1037395324,27020,626392
18-01-2024,1638.45,1647,1628.5,1642.6,294928619,7449,179961
17-01-2024,1620,1646.95,1620,1639.9,185323068,5196,113061
16-01-2024,1647.75,1648,1625.7,1630.95,169860163,4685,103624
15-01-2024,1630.05,1664.9,1630.05,1652,518555941,12296,314434
12-01-2024,1556,1615.8,1554.75,1612.2,5055757957,108851,3163133
11-01-2024,1523,1525.25,1486.65,1495,533327655,8601,356019
10-01-2024,1528.85,1536.75,1505.1,1519.65,312008683,8370,204905
09-01-2024,1541,1552.9,1526.2,1529.15,547618607,15342,354870
08-01-2024,1526.8,1535.85,1513.2,1522.95,324549730,11904,212973
05-01-2024,1508.6,1539.85,1507.5,1532.9,690103342,17487,450788
04-01-2024,1502.9,1519.65,1493.05,1512.2,664801913,18369,440786
03-01-2024,1518.35,1524.6,1488.25,1490.2,913841676,35554,609176
02-01-2024,1547.35,1548.5,1523,1534.95,474630946,8309,309575
01-01-2024,1542,1557,1536.9,1551.25,175539570,4763,113496
29-12-2023,1549.95,1555,1539.2,1542.85,1335131727,42122,864756
28-12-2023,1567.95,1568.95,1555,1563,132063528,4985,84566
27-12-2023,1547.95,1569.95,1545.65,1566.5,505289186,18369,323686
26-12-2023,1531,1548,1522.5,1544.5,368765984,9130,239755
22-12-2023,1544.95,1565.9,1523.4,1562,945901715,24492,610057
21-12-2023,1516.4,1546,1516.4,1536.25,301514019,5608,196359
20-12-2023,1563.35,1583.35,1529.45,1535.75,226363160,6814,144824
19-12-2023,1568.4,1573,1543.55,1557.05,210552132,6333,135285
18-12-2023,1571,1593,1560.05,1563.75,608769464,19398,387264
15-12-2023,1520.1,1588.5,1520.1,1579.25,1315787736,26617,843129
14-12-2023,1465.65,1510,1461.25,1501.25,494591614,11520,331218
13-12-2023,1477.2,1477.25,1432.65,1448.9,362556636,14026,251023
12-12-2023,1475,1489.95,1467.5,1476,553549169,19545,374722
11-12-2023,1490,1499,1485.1,1488.6,103262536,4301,69258
08-12-2023,1472.95,1493.6,1466.35,1490.6,1160854001,34258,782853
07-12-2023,1474.1,1474.1,1462,1466.15,139137157,4133,94902
06-12-2023,1454.05,1477,1451.2,1474.1,245259175,6342,167359
05-12-2023,1464.35,1466.95,1442.2,1453.7,473649887,17693,326852
04-12-2023,1460,1471.45,1449.35,1464.45,180020272,5008,123075
01-12-2023,1457.65,1460.4,1446.05,1452.25,1012549543,31387,697935
30-11-2023,1455.95,1460.8,1449.9,1455.3,289117647,6566,198380
29-11-2023,1448.25,1459.95,1448.25,1459.1,348385226,11866,239199
28-11-2023,1444,1445.35,1427.5,1443.05,70714516,2770,49263
24-11-2023,1443.45,1452.6,1433.65,1436.95,526311715,17179,365783
23-11-2023,1465,1465.95,1448,1449.75,226435808,6420,155331
22-11-2023,1431.05,1459,1431.05,1457.7,330746739,11325,228307
21-11-2023,1441.05,1449,1436.4,1439.4,54928051,2367,38090
20-11-2023,1438.15,1451.8,1433.2,1436.3,199828509,9972,138667
17-11-2023,1442.95,1451,1434.75,1437.65,376899244,13011,261502
16-11-2023,1411.35,1453.35,1410.3,1443.9,906700006,23752,629062
15-11-2023,1386.05,1413.1,1386.05,1411.15,429272302,13544,306197
13-11-2023,1378.6,1382.85,1370.7,1374.15,184974341,7640,134432
12-11-2023,1378.25,1389.5,1378.25,1388.05,37918145,2532,27358
10-11-2023,1371,1373.2,1361.2,1368.7,651840566,25316,477065
